OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount,ShipMode
ORD-10001,2025-01-01,C019,P012,4,0.1,Standard
ORD-10002,2025-01-02,C036,P002,3,0.0,Standard
ORD-10003,2025-01-02,C019,P009,1,0.0,Standard
ORD-10004,2025-01-02,C016,P005,1,0.0,Standard
ORD-10005,2025-01-04,C010,P004,2,0.0,Express
ORD-10006,2025-01-04,C056,P011,4,0.05,Standard
ORD-10007,2025-01-04,C057,P012,1,0.05,Express
ORD-10008,2025-01-05,C007,P011,6,0.05,Standard
ORD-10009,2025-01-07,C022,P003,2,0.0,Standard
ORD-10010,2025-01-07,C034,P003,2,0.05,Standard
ORD-10011,2025-01-08,C023,P009,1,0.0,Express
ORD-10012,2025-01-09,C044,P003,5,0.0,Standard
ORD-10013,2025-01-11,C016,P010,3,0.15,Standard
ORD-10014,2025-01-11,C004,P007,2,0.1,Standard
ORD-10015,2025-01-12,C021,P007,1,0.15,Express
ORD-10016,2025-01-13,C036,P010,9,0.15,Standard
ORD-10017,2025-01-14,C011,P010,2,0.05,Express
ORD-10018,2025-01-15,C049,P001,1,0.15,Express
ORD-10019,2025-01-15,C001,P001,2,0.0,Express
ORD-10020,2025-01-15,C005,P008,4,0.0,Standard
ORD-10021,2025-01-16,C031,P006,3,0.0,Standard
ORD-10022,2025-01-17,C031,P003,1,0.0,Standard
ORD-10023,2025-01-18,C018,P005,2,0.0,Standard
ORD-10024,2025-01-19,C016,P010,4,0.0,Express
ORD-10025,2025-01-20,C005,P010,10,0.05,Standard
ORD-10026,2025-01-21,C040,P007,2,0.1,Standard
ORD-10027,2025-01-21,C023,P004,4,0.05,Standard
ORD-10028,2025-01-24,C008,P003,4,0.0,Standard
ORD-10029,2025-01-25,C024,P006,3,0.05,Standard
ORD-10030,2025-01-25,C057,P004,3,0.0,Express
ORD-10031,2025-01-25,C016,P007,1,0.0,Standard
ORD-10032,2025-01-26,C054,P009,1,0.0,Same Day
