OrderID,OrderDate,ShipDate,CustomerID,ProductID,RegionID,Quantity,Discount,ShipMode
ORD-20001,2024-01-01,2024-01-06,CUST-077,PRD-003,R05,2,0.0,Standard
ORD-20002,2024-01-05,2024-01-07,CUST-073,PRD-012,R02,4,0.05,Express
ORD-20003,2024-01-06,2024-01-10,CUST-024,PRD-010,R02,5,0.0,Standard
ORD-20004,2024-01-08,2024-01-12,CUST-028,PRD-011,R01,5,0.1,Same Day
ORD-20005,2024-01-08,2024-01-10,CUST-063,PRD-010,R02,10,0.15,Same Day
ORD-20006,2024-01-11,2024-01-13,CUST-047,PRD-004,R03,2,0.0,Express
ORD-20007,2024-01-12,2024-01-13,CUST-079,PRD-004,R01,3,0.1,Standard
ORD-20008,2024-01-13,2024-01-16,CUST-010,PRD-005,R02,2,0.0,Standard
ORD-20009,2024-01-16,2024-01-19,CUST-048,PRD-003,R02,5,0.15,Standard
ORD-20010,2024-01-17,2024-01-22,CUST-042,PRD-005,R01,1,0.0,Standard
ORD-20011,2024-01-17,2024-01-22,CUST-075,PRD-010,R01,2,0.0,Standard
ORD-20011,2024-01-17,2024-01-22,CUST-075,PRD-010,R01,2,0.0,Standard
ORD-20012,2024-01-18,2024-01-19,CUST-006,PRD-002,R01,1,0.0,Express
ORD-20013,2024-01-19,2024-01-22,CUST-035,PRD-003,R04,1,0.0,Express
ORD-20014,2024-01-20,2024-01-25,CUST-009,PRD-006,R03,2,0.0,Standard
ORD-20015,2024-01-21,2024-01-27,CUST-061,PRD-009,R05,2,0.15,Express
ORD-20016,2024-01-21,2024-01-26,CUST-010,PRD-009,R02,1,0.05,Standard
ORD-20017,2024-01-21,2024-01-23,CUST-078,PRD-010,R04,2,0.05,Express
ORD-20018,2024-01-23,2024-01-26,CUST-025,PRD-002,R03,3,0.05,Same Day
ORD-20019,2024-01-24,2024-01-27,CUST-036,PRD-003,R01,2,0.0,Express
ORD-20020,2024-01-25,2024-01-27,CUST-025,PRD-003,R03,1,0.1,Same Day
ORD-20021,2024-01-25,2024-01-26,CUST-027,PRD-003,R05,3,0.05,Express
ORD-20022,2024-01-30,2024-02-03,CUST-057,PRD-010,R03,2,0.0,Express
ORD-20023,2024-02-03,2024-02-05,CUST-030,PRD-012,R01,4,0.0,Standard
ORD-20024,2024-02-04,2024-02-06,CUST-007,PRD-009,R04,1,0.0,Standard
ORD-20025,2024-02-04,2024-02-07,CUST-013,PRD-001,R02,1,0.0,Standard
ORD-20026,2024-02-06,2024-02-11,CUST-009,PRD-003,R03,5,0.0,Express
ORD-20027,2024-02-08,2024-02-13,CUST-079,PRD-010,R01,7,0.0,Standard
ORD-20028,2024-02-09,2024-02-13,CUST-053,PRD-012,R03,3,0.15,Express
ORD-20029,2024-02-10,2024-02-15,CUST-076,PRD-008,R02,3,0.0,Standard
ORD-20030,2024-02-12,2024-02-14,CUST-054,PRD-004,R03,2,0.0,Express
ORD-20031,2024-02-12,2024-02-15,CUST-056,PRD-004,R04,3,0.0,Same Day
ORD-20032,2024-02-13,2024-02-18,CUST-057,PRD-008,R03,3,0.05,Express
ORD-20033,2024-02-13,2024-02-17,CUST-071,PRD-011,R05,1,0.05,Standard
ORD-20034,2024-02-13,2024-02-17,CUST-058,PRD-004,R02,4,0.0,Express
ORD-20035,2024-02-14,2024-02-16,CUST-037,PRD-003,R03,4,0.15,Standard
ORD-20036,2024-02-14,2024-02-15,CUST-054,PRD-001,R03,2,0.0,Express
ORD-20037,2024-02-15,2024-02-17,CUST-032,PRD-002,R04,3,0.0,Standard
ORD-20038,2024-02-16,2024-02-19,CUST-045,PRD-011,R02,4,0.05,Standard
ORD-20039,2024-02-16,2024-02-18,CUST-012,PRD-008,R01,4,0.0,Same Day
ORD-20040,2024-02-16,2024-02-19,CUST-060,PRD-012,R02,2,0.1,Express
ORD-20041,2024-02-21,2024-02-23,CUST-003,PRD-001,R02,1,0.0,Same Day
ORD-20042,2024-02-21,2024-02-27,CUST-007,PRD-004,R04,3,0.0,Standard
ORD-20043,2024-02-23,2024-02-29,CUST-020,PRD-010,R04,9,0.05,Express
ORD-20044,2024-02-24,2024-02-26,CUST-017,PRD-009,R04,2,0.1,Same Day
ORD-20045,2024-02-25,2024-03-01,CUST-061,PRD-001,R05,2,0.1,Express
ORD-20046,2024-02-25,2024-02-28,CUST-060,PRD-005,R02,2,0.0,Standard
ORD-20047,2024-02-28,2024-03-04,CUST-019,PRD-008,R03,4,0.0,Standard
ORD-20048,2024-03-01,2024-03-07,CUST-016,PRD-009,R05,1,0.0,Standard
ORD-20049,2024-03-01,2024-03-06,CUST-028,PRD-006,R01,4,0.05,Standard
ORD-20050,2024-03-05,2024-03-08,CUST-043,PRD-003,R02,5,0.0,Standard
ORD-20051,2024-03-05,2024-03-08,CUST-058,PRD-012,R02,5,0.1,Standard
ORD-20052,2024-03-06,2024-03-11,CUST-021,PRD-006,R02,1,0.05,Express
ORD-20053,2024-03-06,2024-03-09,CUST-056,PRD-010,R04,3,0.0,Express
ORD-20054,2024-03-09,2024-03-10,CUST-035,PRD-007,R04,1,0.0,Standard
ORD-20055,2024-03-10,2024-03-13,CUST-007,PRD-002,R04,2,0.0,Standard
ORD-20056,2024-03-11,2024-03-14,CUST-067,PRD-003,R04,4,0.15,Same Day
ORD-20057,2024-03-12,2024-03-13,CUST-027,PRD-001,R05,2,0.0,Same Day
ORD-20058,2024-03-14,2024-03-16,CUST-053,PRD-003,R03,5,0.05,Same Day
ORD-20059,2024-03-14,2024-03-17,CUST-023,PRD-003,R04,1,0.15,Standard
ORD-20060,2024-03-15,2024-03-21,CUST-036,PRD-005,R01,1,0.0,Standard
ORD-20061,2024-03-15,2024-03-18,CUST-053,PRD-004,R03,3,0.15,Express
ORD-20062,2024-03-15,2024-03-19,CUST-022,PRD-004,R03,1,0.0,Standard
