ProductID,ProductName,Category,SubCategory,UnitPrice,UnitCost
PRD-001,Laptop,Technology,Computers,55000,43500
PRD-002,Smartphone,Technology,Phones,28000,22500
PRD-003,Wireless Headphones,Technology,Accessories,4500,2400
PRD-004,Smart Watch,Technology,Accessories,9500,5800
PRD-005,Tablet,Technology,Computers,32000,25500
PRD-006,Office Chair,Furniture,Chairs,8500,5000
PRD-007,Standing Desk,Furniture,Tables,18000,11500
PRD-008,Bookshelf,Furniture,Storage,6500,4400
PRD-009,Printer,Office Supplies,Machines,12500,9600
PRD-010,Notebook Pack,Office Supplies,Paper,450,210
PRD-011,Ink Cartridge,Office Supplies,Supplies,1800,1050
PRD-012,Desk Lamp,Office Supplies,Furnishings,1600,750
