Order Date,Region,Category,Sales,Profit,Quantity,Discount
2024-01-02,South,Clothing,558.05,231.42,14,0.1
2024-01-03,East,Electronics,1304.87,11.16,5,0.05
2024-01-16,South,Groceries,210.02,11.95,5,0.1
2024-01-20,East,Electronics,1115.64,-39.47,5,0.2
2024-01-21,West,Groceries,424.75,51.47,1,0.1
2024-01-27,South,Groceries,2714.83,613.81,17,0.2
2024-02-01,South,Electronics,298.73,17.82,1,0.05
2024-02-05,South,Furniture,2818.58,866.55,8,0.1
2024-02-07,East,Electronics,795.28,332.35,2,0.0
2024-02-12,East,Stationery,4678.1,789.82,14,0.0
2024-02-14,East,Groceries,33.83,-0.9,1,0.15
2024-02-16,South,Clothing,1287.33,141.06,3,0.0
2024-02-17,East,Furniture,1578.02,225.96,10,0.15
2024-02-18,South,Groceries,4679.8,849.55,20,0.0
2024-02-22,East,Groceries,1403.66,273.64,4,0.15
2024-02-22,East,Stationery,1458.48,193.55,10,0.2
2024-02-23,East,Electronics,1178.4,151.53,3,0.0
2024-02-25,North,Furniture,4768.66,1007.76,13,0.0
2024-02-25,East,Electronics,964.32,30.3,16,0.0
2024-02-26,North,Electronics,4495.49,852.53,10,0.05
2024-03-01,South,Groceries,443.52,91.23,1,0.1
2024-03-02,East,Furniture,2180.79,605.62,14,0.15
2024-03-03,West,Clothing,2882.3,685.4,7,0.15
2024-03-11,North,Electronics,714.9,79.29,13,0.2
2024-03-15,West,Groceries,1700.11,682.91,19,0.15
2024-03-16,North,Clothing,1570.92,404.13,20,0.05
2024-03-18,South,Electronics,5033.18,737.26,13,0.2
2024-03-21,North,Groceries,1174.1,8.63,3,0.2
2024-03-21,West,Stationery,1497.31,332.63,6,0.1
2024-03-21,East,Stationery,3514.8,1037.27,12,0.0
2024-03-26,West,Electronics,1337.17,193.64,15,0.1
2024-03-31,West,Furniture,1519.66,125.01,8,0.15
2024-04-02,East,Clothing,1277.6,65.7,14,0.05
2024-04-03,West,Clothing,2426.48,721.33,14,0.0
2024-04-03,South,Groceries,3089.46,1628.76,14,0.05
2024-04-03,South,Stationery,8137.72,-497.4,19,0.1
2024-04-03,South,Stationery,31.3,1.48,1,0.1
2024-04-04,West,Clothing,22.31,2.98,2,0.05
2024-04-05,West,Stationery,204.44,-9.79,12,0.1
2024-04-05,East,Electronics,4083.07,1195.48,13,0.1
2024-04-05,South,Furniture,6755.35,1451.31,15,0.05
2024-04-05,West,Furniture,3914.59,1264.81,12,0.2
2024-04-06,North,Groceries,2219.01,-6.94,12,0.15
2024-04-11,South,Electronics,2852.37,716.06,9,0.05
2024-04-12,North,Stationery,1714.9,209.63,7,0.05
2024-04-14,North,Groceries,669.24,96.96,4,0.1
2024-04-14,East,Stationery,1280.48,279.95,4,0.2
2024-04-14,North,Stationery,357.98,57.01,14,0.0
2024-04-15,North,Clothing,1281.44,110.97,10,0.2
2024-04-15,East,Furniture,5552.2,603.85,17,0.0
2024-04-19,West,Electronics,1939.25,113.88,6,0.2
2024-04-20,South,Groceries,250.86,42.41,1,0.2
2024-04-22,North,Electronics,176.26,41.19,1,0.05
2024-04-24,East,Groceries,1254.53,183.33,6,0.1
2024-04-28,West,Stationery,802.12,140.07,7,0.15
2024-04-28,West,Stationery,265.8,68.65,1,0.2
2024-04-30,East,Clothing,1381.68,417.17,15,0.2
2024-05-03,South,Electronics,421.58,37.83,3,0.2
2024-05-08,South,Groceries,1309.1,309.41,18,0.2
2024-05-09,West,Furniture,7661.56,1193.73,19,0.15
2024-05-10,North,Clothing,5406.0,822.53,12,0.0
2024-05-18,West,Groceries,3249.98,1002.49,12,0.2
2024-05-22,West,Groceries,251.4,99.6,20,0.0
2024-05-26,East,Electronics,2400.26,229.6,8,0.2
2024-05-29,South,Furniture,3905.92,779.66,10,0.15
2024-05-29,South,Stationery,3821.09,255.78,14,0.05
2024-05-30,North,Furniture,3149.63,735.65,8,0.2
2024-06-02,East,Furniture,5731.41,1820.75,19,0.1
2024-06-03,West,Furniture,3264.19,199.51,16,0.1
2024-06-05,North,Electronics,3037.95,245.26,16,0.2
2024-06-06,South,Electronics,7722.17,1904.08,20,0.05
2024-06-07,South,Clothing,2714.15,365.96,7,0.2
2024-06-07,North,Clothing,828.06,306.41,4,0.2
2024-06-08,South,Stationery,612.43,173.28,2,0.1
2024-06-12,West,Clothing,698.06,101.13,9,0.1
2024-06-13,East,Groceries,2056.73,-11.4,16,0.15
2024-06-16,East,Furniture,386.12,178.75,19,0.1
2024-06-23,South,Furniture,6987.36,325.42,20,0.2
2024-06-28,South,Groceries,5109.12,371.46,18,0.2
2024-07-02,East,Furniture,1296.54,659.38,18,0.0
2024-07-03,South,Clothing,1582.02,169.85,16,0.05
2024-07-06,East,Groceries,3508.0,-67.45,8,0.0
2024-07-08,South,Electronics,1862.14,-56.38,16,0.2
2024-07-23,South,Clothing,583.52,15.37,2,0.1
2024-07-27,East,Stationery,2128.8,115.21,16,0.0
2024-07-31,South,Electronics,3427.07,646.8,11,0.2
2024-08-02,East,Furniture,5138.24,567.71,20,0.2
2024-08-07,North,Groceries,2048.35,153.0,14,0.15
2024-08-08,North,Clothing,720.61,78.7,14,0.2
2024-08-08,West,Groceries,1446.84,1096.57,8,0.15
2024-08-11,South,Stationery,437.0,121.12,20,0.05
2024-08-12,East,Furniture,2971.3,642.68,8,0.1
2024-08-15,West,Clothing,181.31,77.03,1,0.15
2024-08-17,North,Clothing,1516.32,172.85,4,0.1
2024-08-22,North,Furniture,467.32,83.17,11,0.05
2024-08-24,North,Electronics,603.5,235.62,11,0.2
2024-08-28,East,Electronics,667.95,202.6,3,0.0
2024-08-29,North,Electronics,767.95,159.71,9,0.2
2024-08-29,East,Furniture,2989.33,615.73,12,0.1
2024-08-30,South,Groceries,3343.83,972.29,16,0.15
2024-09-01,East,Groceries,1526.09,-128.89,5,0.1
2024-09-02,South,Stationery,221.09,9.3,3,0.15
2024-09-02,South,Clothing,255.51,19.93,18,0.15
2024-09-03,North,Stationery,746.16,91.18,11,0.1
2024-09-06,South,Stationery,244.27,49.6,7,0.2
2024-09-07,South,Groceries,1479.61,162.97,13,0.2
2024-09-09,North,Stationery,517.01,175.04,3,0.2
2024-09-10,West,Groceries,4298.32,352.46,17,0.05
2024-09-11,South,Electronics,3516.25,-400.68,18,0.15
2024-09-18,East,Clothing,46.89,0.86,4,0.15
2024-09-19,East,Electronics,6151.0,1479.98,20,0.0
2024-09-20,West,Clothing,3778.05,953.47,11,0.15
2024-09-24,South,Stationery,207.0,48.48,9,0.2
2024-09-26,West,Stationery,2314.14,64.97,13,0.05
2024-09-29,South,Furniture,164.34,49.64,2,0.1
2024-10-06,West,Stationery,2086.05,-14.95,5,0.0
2024-10-08,North,Stationery,775.54,308.69,2,0.15
2024-10-08,East,Groceries,4589.49,1179.81,20,0.15
2024-10-08,North,Clothing,669.76,109.03,17,0.15
2024-10-11,West,Clothing,577.08,67.46,3,0.2
2024-10-11,South,Stationery,3820.38,836.6,14,0.15
2024-10-12,West,Electronics,3687.68,557.38,15,0.15
2024-10-12,West,Electronics,1077.55,23.0,18,0.2
2024-10-15,West,Stationery,3474.51,-1063.86,17,0.05
2024-10-19,West,Electronics,306.04,83.99,4,0.0
2024-10-20,South,Stationery,1337.33,187.63,12,0.05
2024-10-21,West,Groceries,77.28,17.93,4,0.2
2024-10-21,South,Furniture,5678.04,1312.61,15,0.2
2024-10-25,West,Furniture,2926.08,729.52,20,0.2
2024-10-31,West,Clothing,4777.36,98.67,19,0.2
2024-11-02,West,Clothing,6044.85,1338.96,15,0.05
2024-11-02,North,Electronics,599.04,200.47,9,0.0
2024-11-07,North,Electronics,963.76,-50.69,4,0.15
2024-11-07,West,Furniture,400.16,45.23,4,0.2
2024-11-12,East,Clothing,93.95,10.07,1,0.05
2024-11-12,West,Furniture,3407.48,933.14,19,0.05
2024-11-13,West,Electronics,7146.6,3561.32,20,0.0
2024-11-13,West,Clothing,1353.44,453.23,5,0.2
2024-11-15,West,Clothing,5747.83,783.12,15,0.15
2024-11-18,South,Groceries,4900.56,-385.86,13,0.15
2024-11-19,East,Stationery,5144.57,-29.18,13,0.2
2024-11-20,West,Stationery,2979.76,683.3,17,0.2
2024-11-28,South,Stationery,5638.82,1053.53,15,0.1
2024-11-30,West,Clothing,1107.26,335.82,18,0.15
2024-12-01,South,Furniture,6150.6,325.86,15,0.1
2024-12-06,West,Groceries,4557.24,1269.11,11,0.05
2024-12-07,South,Furniture,4355.81,1198.23,17,0.2
2024-12-09,North,Electronics,1140.66,167.73,10,0.05
2024-12-10,North,Groceries,1035.59,233.25,11,0.05
2024-12-10,West,Electronics,5526.96,1211.28,15,0.2
2024-12-12,West,Furniture,3763.32,1221.22,11,0.2
2024-12-14,East,Furniture,2926.08,734.67,10,0.2
2024-12-23,North,Electronics,1526.33,119.76,12,0.15
2024-12-24,East,Furniture,2228.52,142.8,9,0.15
2024-12-24,East,Electronics,164.16,54.26,8,0.05
2024-12-25,West,Stationery,5172.53,430.52,11,0.0
2024-12-29,East,Clothing,3575.02,624.89,9,0.1
2025-01-01,South,Electronics,586.56,8.24,4,0.2
2025-01-05,West,Stationery,521.05,121.69,2,0.15
2025-01-06,East,Electronics,204.85,40.28,2,0.2
2025-01-07,East,Clothing,2460.51,1094.48,13,0.1
2025-01-07,South,Furniture,1809.86,165.77,5,0.15
2025-01-09,North,Groceries,139.58,40.07,1,0.0
2025-01-10,West,Clothing,1190.79,375.03,9,0.0
2025-01-13,East,Clothing,5740.85,-574.6,19,0.0
2025-01-14,East,Groceries,698.93,53.16,3,0.2
2025-01-17,East,Furniture,4280.8,815.37,12,0.1
2025-01-18,South,Groceries,164.1,57.49,3,0.0
2025-01-23,East,Electronics,2169.41,-70.08,15,0.15
2025-01-24,East,Groceries,496.62,120.14,18,0.0
2025-01-24,East,Groceries,968.76,253.22,12,0.1
2025-01-25,West,Electronics,7337.95,2187.17,16,0.05
2025-01-26,North,Groceries,732.97,124.02,8,0.15
2025-01-28,West,Furniture,1417.46,431.02,8,0.1
2025-02-03,West,Stationery,6873.17,-271.68,18,0.05
2025-02-12,East,Clothing,1306.21,305.97,3,0.1
2025-02-12,West,Furniture,2169.19,576.21,11,0.1
2025-02-13,West,Groceries,4554.57,716.13,11,0.15
2025-02-14,East,Furniture,2561.66,-274.08,7,0.2
2025-02-15,West,Furniture,4883.49,192.05,16,0.15
2025-02-16,East,Stationery,4535.28,971.09,18,0.0
2025-02-20,South,Electronics,2783.54,1.58,6,0.05
2025-02-21,East,Furniture,1187.89,-8.15,12,0.15
